########################################
# `caprieval` cluster-based analysis
#
# > sortby_key=score
# > sort_ascending=True
# > clt_threshold=4
#
# NOTE: if under_eval=yes, it means that there were less models in a cluster than
#    clt_threshold, thus these values were under evaluated.
#   You might need to tweak the value of clt_threshold or change some parameters
#    in `clustfcc` depending on your analysis.
#
########################################
cluster_rank	cluster_id	n	under_eval	score	score_std	irmsd	irmsd_std	fnat	fnat_std	lrmsd	lrmsd_std	dockq	dockq_std	ilrmsd	ilrmsd_std	rmsd	rmsd_std	air	air_std	bsa	bsa_std	desolv	desolv_std	elec	elec_std	total	total_std	vdw	vdw_std	caprieval_rank
1	2	9	-	-146.761	10.098	0.982	0.088	0.914	0.021	2.264	0.465	0.849	0.022	1.630	0.238	1.111	0.121	0.000	0.000	1893.638	77.580	2.900	3.457	-489.291	70.928	-541.095	68.628	-51.804	5.015	1
2	5	8	-	-119.495	8.827	14.516	0.519	0.091	0.014	23.169	0.387	0.073	0.003	22.522	0.460	14.268	0.224	0.000	0.000	1822.150	31.352	2.754	4.191	-344.664	58.352	-397.980	57.673	-53.316	3.261	2
5	4	8	-	-118.059	3.958	14.778	0.287	0.069	0.000	23.199	0.456	0.066	0.001	21.796	0.120	14.269	0.189	0.000	0.000	1900.097	42.885	9.239	1.983	-359.987	55.486	-415.288	45.023	-55.301	11.912	3
3	8	5	-	-113.869	10.901	5.038	0.120	0.147	0.019	11.894	0.425	0.189	0.012	10.754	0.132	4.555	0.219	0.000	0.000	1571.785	17.126	6.894	1.193	-260.623	55.985	-329.261	55.943	-68.638	2.178	4
6	1	13	-	-111.862	2.200	9.218	0.786	0.091	0.026	18.219	1.400	0.099	0.017	17.028	0.949	9.350	0.895	0.000	0.000	1497.125	51.039	3.836	5.374	-353.362	55.346	-398.387	50.311	-45.026	5.125	5
4	11	4	-	-109.792	16.977	4.442	0.838	0.267	0.066	8.769	1.201	0.290	0.058	8.061	1.484	4.583	0.920	0.000	0.000	1814.703	124.216	3.565	4.446	-356.333	82.731	-398.423	83.677	-42.090	6.154	6
11	21	1	yes	-101.599	0.000	8.328	0.000	0.138	0.000	15.628	0.000	0.133	0.000	15.556	0.000	8.284	0.000	0.000	0.000	1537.410	0.000	-0.788	0.000	-244.860	0.000	-296.699	0.000	-51.839	0.000	7
12	19	1	yes	-98.903	0.000	14.910	0.000	0.069	0.000	22.812	0.000	0.067	0.000	22.122	0.000	14.306	0.000	0.000	0.000	1710.410	0.000	3.969	0.000	-286.957	0.000	-332.438	0.000	-45.481	0.000	8
13	18	1	yes	-98.898	0.000	7.891	0.000	0.138	0.000	25.552	0.000	0.091	0.000	18.665	0.000	8.874	0.000	0.000	0.000	1572.170	0.000	4.634	0.000	-288.968	0.000	-334.707	0.000	-45.739	0.000	9
8	9	4	-	-97.905	10.292	3.932	0.494	0.284	0.055	12.907	1.698	0.242	0.047	8.508	1.068	4.640	0.625	0.000	0.000	1621.220	86.523	12.109	2.202	-347.189	39.790	-387.766	41.383	-40.577	4.795	10
7	7	5	-	-96.633	11.113	15.368	0.021	0.103	0.000	28.527	0.328	0.065	0.001	25.650	0.152	14.757	0.040	0.000	0.000	1670.800	186.166	9.035	1.777	-295.323	47.881	-341.927	48.371	-46.604	7.881	11
14	6	8	-	-92.238	1.919	7.152	1.136	0.203	0.033	14.806	2.584	0.169	0.038	13.776	2.205	7.330	1.162	0.000	0.000	1395.165	25.562	0.412	0.992	-253.179	16.148	-295.193	14.399	-42.014	3.167	12
9	10	4	-	-90.192	12.363	3.044	0.562	0.289	0.060	10.007	2.100	0.309	0.066	7.901	1.463	2.951	0.671	0.000	0.000	1509.267	181.029	12.991	2.556	-351.339	13.777	-384.254	15.934	-32.915	9.953	13
15	22	1	yes	-87.913	0.000	11.066	0.000	0.017	0.000	21.033	0.000	0.059	0.000	19.224	0.000	11.373	0.000	0.000	0.000	1383.470	0.000	0.947	0.000	-243.093	0.000	-283.334	0.000	-40.241	0.000	14
16	3	9	-	-83.171	1.684	6.464	0.363	0.220	0.031	19.380	0.384	0.144	0.010	14.588	0.279	7.099	0.308	0.000	0.000	1483.273	89.390	12.947	1.902	-333.211	6.908	-362.686	5.401	-29.476	3.367	15
