00_topo1	1_emscoring	1_emscoring_rank
emref_9_from_haddock3-ens-emref-ensemble_83_haddock.psf	emscoring_82.pdb	1
emref_10_from_haddock3-ens-emref-ensemble_2_haddock.psf	emscoring_2.pdb	2
emref_7_from_haddock3-ens-emref-ensemble_67_haddock.psf	emscoring_64.pdb	3
emref_5_from_haddock3-ens-emref-ensemble_45_haddock.psf	emscoring_40.pdb	4
emref_47_from_haddock3-ens-emref-ensemble_42_haddock.psf	emscoring_37.pdb	5
emref_35_from_haddock3-ens-emref-ensemble_29_haddock.psf	emscoring_22.pdb	6
emref_6_from_haddock3-ens-emref-ensemble_56_haddock.psf	emscoring_52.pdb	7
emref_51_from_haddock3-ens-emref-ensemble_47_haddock.psf	emscoring_42.pdb	8
emref_3_from_haddock3-ens-emref-ensemble_23_haddock.psf	emscoring_16.pdb	9
emref_64_from_haddock3-ens-emref-ensemble_61_haddock.psf	emscoring_58.pdb	10
emref_50_from_haddock3-ens-emref-ensemble_46_haddock.psf	emscoring_41.pdb	11
emref_39_from_haddock3-ens-emref-ensemble_33_haddock.psf	emscoring_27.pdb	12
emref_70_from_haddock3-ens-emref-ensemble_68_haddock.psf	emscoring_65.pdb	13
emref_45_from_haddock3-ens-emref-ensemble_40_haddock.psf	emscoring_34.pdb	14
emref_63_from_haddock3-ens-emref-ensemble_60_haddock.psf	emscoring_56.pdb	15
emref_34_from_haddock3-ens-emref-ensemble_28_haddock.psf	emscoring_21.pdb	16
emref_83_from_haddock3-ens-emref-ensemble_82_haddock.psf	emscoring_81.pdb	17
emref_69_from_haddock3-ens-emref-ensemble_66_haddock.psf	emscoring_63.pdb	18
emref_8_from_haddock3-ens-emref-ensemble_78_haddock.psf	emscoring_76.pdb	19
emref_49_from_haddock3-ens-emref-ensemble_44_haddock.psf	emscoring_39.pdb	20
emref_67_from_haddock3-ens-emref-ensemble_64_haddock.psf	emscoring_61.pdb	21
emref_43_from_haddock3-ens-emref-ensemble_38_haddock.psf	emscoring_32.pdb	22
emref_68_from_haddock3-ens-emref-ensemble_65_haddock.psf	emscoring_62.pdb	23
emref_32_from_haddock3-ens-emref-ensemble_26_haddock.psf	emscoring_19.pdb	24
emref_66_from_haddock3-ens-emref-ensemble_63_haddock.psf	emscoring_60.pdb	25
emref_28_from_haddock3-ens-emref-ensemble_21_haddock.psf	emscoring_14.pdb	26
emref_75_from_haddock3-ens-emref-ensemble_73_haddock.psf	emscoring_71.pdb	27
emref_30_from_haddock3-ens-emref-ensemble_24_haddock.psf	emscoring_17.pdb	28
emref_2_from_haddock3-ens-emref-ensemble_12_haddock.psf	emscoring_4.pdb	29
emref_21_from_haddock3-ens-emref-ensemble_14_haddock.psf	emscoring_6.pdb	30
emref_33_from_haddock3-ens-emref-ensemble_27_haddock.psf	emscoring_20.pdb	31
emref_53_from_haddock3-ens-emref-ensemble_49_haddock.psf	emscoring_44.pdb	32
emref_65_from_haddock3-ens-emref-ensemble_62_haddock.psf	emscoring_59.pdb	33
emref_36_from_haddock3-ens-emref-ensemble_30_haddock.psf	emscoring_23.pdb	34
emref_4_from_haddock3-ens-emref-ensemble_34_haddock.psf	emscoring_28.pdb	35
emref_46_from_haddock3-ens-emref-ensemble_41_haddock.psf	emscoring_36.pdb	36
emref_72_from_haddock3-ens-emref-ensemble_70_haddock.psf	emscoring_67.pdb	37
emref_22_from_haddock3-ens-emref-ensemble_15_haddock.psf	emscoring_7.pdb	38
emref_48_from_haddock3-ens-emref-ensemble_43_haddock.psf	emscoring_38.pdb	39
af3server_15052024_2_ready_from_af3-models_2_haddock.psf	emscoring_90.pdb	40
emref_77_from_haddock3-ens-emref-ensemble_75_haddock.psf	emscoring_73.pdb	41
emref_31_from_haddock3-ens-emref-ensemble_25_haddock.psf	emscoring_18.pdb	42
emref_44_from_haddock3-ens-emref-ensemble_39_haddock.psf	emscoring_33.pdb	43
emref_38_from_haddock3-ens-emref-ensemble_32_haddock.psf	emscoring_26.pdb	44
emref_29_from_haddock3-ens-emref-ensemble_22_haddock.psf	emscoring_15.pdb	45
emref_27_from_haddock3-ens-emref-ensemble_20_haddock.psf	emscoring_12.pdb	46
emref_41_from_haddock3-ens-emref-ensemble_36_haddock.psf	emscoring_30.pdb	47
emref_16_from_haddock3-ens-emref-ensemble_8_haddock.psf	emscoring_68.pdb	48
emref_71_from_haddock3-ens-emref-ensemble_69_haddock.psf	emscoring_66.pdb	49
emref_42_from_haddock3-ens-emref-ensemble_37_haddock.psf	emscoring_31.pdb	50
emref_82_from_haddock3-ens-emref-ensemble_81_haddock.psf	emscoring_80.pdb	51
emref_78_from_haddock3-ens-emref-ensemble_76_haddock.psf	emscoring_74.pdb	52
emref_26_from_haddock3-ens-emref-ensemble_19_haddock.psf	emscoring_11.pdb	53
emref_25_from_haddock3-ens-emref-ensemble_18_haddock.psf	emscoring_10.pdb	54
emref_37_from_haddock3-ens-emref-ensemble_31_haddock.psf	emscoring_25.pdb	55
emref_15_from_haddock3-ens-emref-ensemble_7_haddock.psf	emscoring_57.pdb	56
emref_20_from_haddock3-ens-emref-ensemble_13_haddock.psf	emscoring_5.pdb	57
emref_18_from_haddock3-ens-emref-ensemble_10_haddock.psf	emscoring_83.pdb	58
emref_13_from_haddock3-ens-emref-ensemble_5_haddock.psf	emscoring_35.pdb	59
emref_11_from_haddock3-ens-emref-ensemble_3_haddock.psf	emscoring_13.pdb	60
emref_81_from_haddock3-ens-emref-ensemble_80_haddock.psf	emscoring_78.pdb	61
emref_17_from_haddock3-ens-emref-ensemble_9_haddock.psf	emscoring_79.pdb	62
emref_24_from_haddock3-ens-emref-ensemble_17_haddock.psf	emscoring_9.pdb	63
emref_61_from_haddock3-ens-emref-ensemble_58_haddock.psf	emscoring_54.pdb	64
emref_80_from_haddock3-ens-emref-ensemble_79_haddock.psf	emscoring_77.pdb	65
emref_52_from_haddock3-ens-emref-ensemble_48_haddock.psf	emscoring_43.pdb	66
emref_62_from_haddock3-ens-emref-ensemble_59_haddock.psf	emscoring_55.pdb	67
