model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../01_rigidbody/rigidbody_54.pdb	-	1	-5.536	10.970	0.017	20.740	19.291	0.060	11.126	-	-	-	815.880	1334.100	201.962	1078.210	0.000	0.000	0.000	5.394	2032.770	-8.552	5372.900	0.000	0.000	0.000	831.826	24.499	0.000	0.000
../01_rigidbody/rigidbody_50.pdb	-	2	-4.653	1.241	0.828	3.041	2.739	0.769	1.259	-	-	-	770.275	1334.100	201.960	1583.500	0.000	0.000	0.000	8.398	2032.770	-4.771	5372.900	0.000	0.000	0.000	750.757	-14.747	0.000	0.000
../01_rigidbody/rigidbody_18.pdb	-	3	-4.483	10.376	0.017	20.253	18.568	0.062	10.624	-	-	-	927.449	1334.100	201.976	1124.710	0.000	0.000	0.000	3.122	2032.770	-5.834	5372.900	0.000	0.000	0.000	941.881	20.266	0.000	0.000
../01_rigidbody/rigidbody_89.pdb	-	4	-3.648	5.004	0.190	11.655	10.739	0.206	4.477	-	-	-	1034.350	1334.100	201.949	1370.130	0.000	0.000	0.000	4.884	2032.780	-5.225	5372.900	0.000	0.000	0.000	1034.210	5.092	0.000	0.000
../01_rigidbody/rigidbody_49.pdb	-	5	-3.630	2.470	0.345	6.850	5.024	0.407	2.629	-	-	-	1227.110	1334.100	201.967	1676.970	0.000	0.000	0.000	14.876	2032.770	-14.250	5372.900	0.000	0.000	0.000	1237.140	24.284	0.000	0.000
../01_rigidbody/rigidbody_57.pdb	-	6	-3.595	1.206	0.707	2.255	2.423	0.749	1.132	-	-	-	842.656	1334.100	201.962	1735.820	0.000	0.000	0.000	15.401	2032.770	-9.853	5372.900	0.000	0.000	0.000	811.719	-21.084	0.000	0.000
../01_rigidbody/rigidbody_84.pdb	-	7	-3.536	5.004	0.190	11.670	10.777	0.206	4.464	-	-	-	1085.190	1334.100	201.971	1365.030	0.000	0.000	0.000	4.944	2032.780	-5.789	5372.900	0.000	0.000	0.000	1090.120	10.719	0.000	0.000
../01_rigidbody/rigidbody_36.pdb	-	8	-3.438	5.020	0.190	11.738	10.770	0.205	4.503	-	-	-	945.046	1334.100	201.963	1348.870	0.000	0.000	0.000	5.399	2032.780	-4.776	5372.900	0.000	0.000	0.000	938.016	-2.254	0.000	0.000
../01_rigidbody/rigidbody_96.pdb	-	9	-3.299	5.011	0.190	11.857	10.778	0.204	4.520	-	-	-	1005.400	1334.100	201.956	1318.960	0.000	0.000	0.000	4.558	2032.780	-4.634	5372.900	0.000	0.000	0.000	992.079	-8.684	0.000	0.000
../01_rigidbody/rigidbody_45.pdb	-	10	-3.140	1.182	0.638	2.066	2.317	0.733	1.102	-	-	-	769.114	1334.100	201.956	1713.430	0.000	0.000	0.000	14.791	2032.770	-8.295	5372.900	0.000	0.000	0.000	741.569	-19.250	0.000	0.000
../01_rigidbody/rigidbody_72.pdb	-	11	-3.129	1.245	0.690	2.560	2.628	0.733	1.168	-	-	-	728.319	1334.100	201.954	1680.840	0.000	0.000	0.000	14.389	2032.780	-7.823	5372.900	0.000	0.000	0.000	703.498	-16.997	0.000	0.000
../01_rigidbody/rigidbody_44.pdb	-	12	-2.749	2.450	0.345	6.822	5.003	0.409	2.601	-	-	-	1393.030	1334.100	201.953	1676.100	0.000	0.000	0.000	13.628	2032.770	-13.956	5372.900	0.000	0.000	0.000	1420.080	41.009	0.000	0.000
../01_rigidbody/rigidbody_70.pdb	-	13	-2.498	1.208	0.810	2.643	2.572	0.776	1.203	-	-	-	798.789	1334.100	201.967	1591.260	0.000	0.000	0.000	10.163	2032.770	-4.593	5372.900	0.000	0.000	0.000	779.951	-14.245	0.000	0.000
../01_rigidbody/rigidbody_4.pdb	-	14	-2.481	10.741	0.034	20.987	18.708	0.065	11.214	-	-	-	1121.420	1334.100	201.956	1203.390	0.000	0.000	0.000	0.870	2032.770	-2.552	5372.900	0.000	0.000	0.000	1120.890	2.018	0.000	0.000
../01_rigidbody/rigidbody_92.pdb	-	15	-2.286	12.533	0.052	21.538	21.224	0.067	12.583	-	-	-	855.072	1334.100	201.971	1173.690	0.000	0.000	0.000	3.975	2032.780	-3.239	5372.900	0.000	0.000	0.000	868.127	16.294	0.000	0.000
